Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP001735;;75018;9;1;SG Mission des JO 2024;CONSTRUCTION_IMMEUBLE;Arena 2;avenue de la Porte de la Chapelle;n°6;2020-09-07;2023-07-31;BARRAGE_TOTAL;"entre le bd Ney et l'avenue de la pte de la Chapelle.
Le bd Ney sera réduit à une file au niveau de l'accès de chantier.
Fermeture accès BP du 22/08/22 au 31/09/23";2;2;;"{""coordinates"": [[[2.3603260350936983, 48.89878775856859], [2.3601471741019475, 48.89875995133474], [2.3598849492070966, 48.89888743914395], [2.3595561756507086, 48.89912735011801], [2.359480887800005, 48.89928805990154], [2.359617900825142, 48.899406941074794], [2.3598871745534344, 48.90003134705187], [2.3623214185946586, 48.900099862545694], [2.3624132449545328, 48.89859486607447], [2.3622882354237444, 48.898599571206205], [2.362229552931679, 48.89873534500308], [2.360439273320176, 48.898852808318075], [2.3603259031289747, 48.89879849839457], [2.3603178236364073, 48.89879308452548], [2.360334047246322, 48.8987985418932], [2.3603260350936983, 48.89878775856859]]], ""type"": ""Polygon""}";48.89941650246351, 2.3610672014134044
CP002368;654245;75005;12;2;Eau de Paris;ENTRETIEN_RESEAU;Renouvellement conduits EP;Gobelins, Monge, Censier et Mirbel;13-17 av Gobelins + 111-115 rue Monge + 30 rue Censier + 1-5 rue Mirebel (base vie);2022-08-08;2023-01-20;RESTREINTE;Déviation circulation générale (Bus + vélos);2;2;;"{""coordinates"": [[[2.352170678013787, 48.84077012166218], [2.3526260571896014, 48.84065790093449], [2.352594128082261, 48.84060941340265], [2.3519975760479093, 48.84018477003617], [2.3516942193394015, 48.840054286983424], [2.3515721026839387, 48.840064361709885], [2.35132994869364, 48.83959063679239], [2.351244193121893, 48.83961969788606], [2.351411327529303, 48.83991317748432], [2.352170678013787, 48.84077012166218]]], ""type"": ""Polygon""}";48.84036171643268, 2.3520135239093847
CP002390;689822;75014;12;3;Congrégation St Joseph;REHABILITATION_IMMEUBLE;;Rue Méchain;du 19b au 21;2022-10-05;2023-12-15;RESTREINTE;Maintien de 4,00m de circulation;2;2;;"{""coordinates"": [[[[2.3384636559592034, 48.835731183956824], [2.3384920117960966, 48.83576592962471], [2.3386536950961507, 48.835750643146774], [2.3386599930083736, 48.83570879703888], [2.3384636559592034, 48.835731183956824]]], [[[2.3384636163956105, 48.835731188234845], [2.3384636559592034, 48.835731183956824], [2.338463140817023, 48.83573055244859], [2.3384636163956105, 48.835731188234845]]]], ""type"": ""MultiPolygon""}";48.83573836601194, 2.3385684617326348
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2024-03-15;RESTREINTE;restriction à é files de circulation, maintien de la piste vélos et cheminement piétons.;2;2;;"{""coordinates"": [[[2.299950868215911, 48.82590374090184], [2.30015215168723, 48.82580973482902], [2.3001655346281953, 48.82561825396621], [2.3000555103777676, 48.82562593831276], [2.299795085098483, 48.825695802137254], [2.299950868215911, 48.82590374090184]]], ""type"": ""Polygon""}";48.82574599992239, 2.300005595088703
CP002276;;75017;9;3;ICF HABITAT;CONSTRUCTION_IMMEUBLE;"Création de 111 logements sociaux.
Emprise principale sur trottoir + 18 ml sur chaussée (livraison)";Voie Bus;Entre le 188 bis et 188 ter avenue de Clichy;2022-05-02;2024-06-30;RESTREINTE;"Déviation bus dans circulation générale
Création PP avec CP provisoire au n°188
Perche SLT au n° 188 bis + dépose socle Devault + feu G sur TPC au n° 190";2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/PIC 188bis av. Clichy - version 2.pdf;"{""coordinates"": [[[2.315884598767695, 48.89320306231301], [2.315774765008548, 48.89315817632153], [2.3157740498147716, 48.89315769649222], [2.31564390066753, 48.8932307162974], [2.315668889168939, 48.89325132233803], [2.3155074388194286, 48.89334462724541], [2.315564610758674, 48.893387784367086], [2.315884598767695, 48.89320306231301]]], ""type"": ""Polygon""}";48.89326507701689, 2.3156964416358314
CP002462;811800;75017;9;1;SAGP;REAMENAGEMENT_VOIRIE;Aménagement cyclable + Carrefour rue Cardinet angle rue Rostropovitch;Rue Cardinet;145 à 149 rue Cardinet;2023-02-13;2023-04-28;SENS_UNIQUE;"Ph1 : maintien 2 files de circulation
Ph2 : Mise à sens unique rue Cardinet (sens Clichy vers Rome)";2;2;;"{""coordinates"": [[[2.3157084435755957, 48.888766438268014], [2.3158172932352237, 48.88872089864788], [2.3156348284874997, 48.888492377934924], [2.31505754664385, 48.88788516506108], [2.3148794579903957, 48.88776326823459], [2.3147580053001637, 48.88783443414503], [2.314913202138374, 48.887940970927865], [2.3155083852994744, 48.88855875589316], [2.3157077096757077, 48.88876738646274], [2.3157084435755957, 48.888766438268014]]], ""type"": ""Polygon""}";48.88824928819359, 2.3153015184993593
CP002467;810443;75014;12;1;DVD - MAC;REAMENAGEMENT_VOIRIE;Désamiantage et aménagement cyclable;rue du Faubourg Saint Jacques;Entre le boulevard Saint Jacques et le boulevard Arago;2023-03-06;2023-06-09;RESTREINTE;Circulations restreintes sur la Ph1 et la Ph3 + barrage sur la Ph2;2;2;;"{""coordinates"": [[[2.3367799475457605, 48.83449255167218], [2.336944065559544, 48.8344839435435], [2.336960299750293, 48.83448284367034], [2.3364397643135733, 48.83360783707633], [2.336560219417048, 48.833489525663964], [2.336580996533342, 48.833414683707126], [2.336564459455936, 48.8332979920758], [2.335837385194988, 48.833499791532574], [2.335907077145538, 48.83354658066962], [2.3359838569370743, 48.833602927159056], [2.336087940511892, 48.83363800932921], [2.336282358034022, 48.83365574559813], [2.3365033843619147, 48.83399011422473], [2.3367875804451597, 48.834459280413995], [2.336787550181088, 48.83446165908113], [2.3367799475457605, 48.83449255167218]]], ""type"": ""Polygon""}";48.83376707234253, 2.3364389061873836
CP002471;814301;75008;9;1;STV;REFECTION_CHAUSSEE;Reprise de pavage;Place du CANADA;Coté Albert er / Pont des Invalides;2023-04-06;2023-05-05;RESTREINTE;Maintien de 3,00m et Fermeture du contre sens Bus vers le 7ème;1;2;;"{""coordinates"": [[[2.3099176449909593, 48.86456021030826], [2.309815254848495, 48.86455724020254], [2.3098362437801216, 48.864606379347556], [2.3104224612182853, 48.86462355986165], [2.310389770445115, 48.86453199766828], [2.3099176449909593, 48.86456021030826]]], ""type"": ""Polygon""}";48.864581191009634, 2.310150819791415
CP002518;721280;75010;11;1;STV-C 10e;REFECTION_CHAUSSEE;Réfection du tapis;Boulevard de Magenta;De la place du 8 mai 1945 à la place Valenciennes;2023-07-10;2023-09-01;RESTREINTE;"Barrage totale les nuits du 9 au 11 aout 2023
De jour, en laissant une largeur de 3ml à chaque phase du chantier";2;2;;"{""coordinates"": [[[2.3561743292688764, 48.87627920136342], [2.3559732812566114, 48.876200786104505], [2.3559733106798797, 48.876198406622706], [2.354105110560751, 48.87834297239734], [2.3542666750766874, 48.8784057109133], [2.3561743292688764, 48.87627920136342]]], ""type"": ""Polygon""}";48.87726674983075, 2.355165065327817
CP002169;;75014;12;2;RATP RER;TRAVAUX_OUVRAGE;Base vie pour création sorties supplémentaires RER.;Place Denfert Rochereau;Contre allée coté Est;2021-11-08;2023-07-04;RESTREINTE;Déplacement du passage piétons coté Ouest centre place et neutralisation de la contre allée.;2;2;;"{""coordinates"": [[[[2.3324814046179307, 48.83413860435074], [2.3327426941445473, 48.83427688631628], [2.3331193043190193, 48.83409101097215], [2.3332265696537537, 48.83397345230322], [2.333294052237816, 48.83378585268434], [2.3333273475858727, 48.83372696036534], [2.3329642349614823, 48.833493994347485], [2.332865655146732, 48.83356863469825], [2.3331077757284078, 48.83372036525181], [2.3331471441096503, 48.83382262922859], [2.333064216172524, 48.83394569369624], [2.3328103163330147, 48.83407854659821], [2.3324814046179307, 48.83413860435074]]], [[[2.3324805101910373, 48.83413876754145], [2.332467827053632, 48.834141083688415], [2.33250022819938, 48.83415200660427], [2.3324805101910373, 48.83413876754145]]], [[[2.3324805101910373, 48.83413876754145], [2.3324814046179307, 48.83413860435074], [2.3324760298091833, 48.83413575932264], [2.3324805101910373, 48.83413876754145]]]], ""type"": ""MultiPolygon""}";48.83393705608835, 2.3329919285070484
CP002369;668751;75005;12;3;GDG Scipion;REHABILITATION_IMMEUBLE;Réhabilitation hôtel Scipion;Rue Scipion;Entre rue Vésale et rue du Fer à cheval;2022-08-22;2024-05-31;BARRAGE_TOTAL;Déviation voitures et vélos par rue Vésale;2;2;;"{""coordinates"": [[[2.353626719003378, 48.83840652337205], [2.3532449459867126, 48.83881493655165], [2.353298999786869, 48.83881641865733], [2.353675351776813, 48.8384091658779], [2.353626719003378, 48.83840652337205]]], ""type"": ""Polygon""}";48.83861453156144, 2.3534589146739697
CP002383;696105;75016;13;1;SAP;TRAVAUX_OUVRAGE;Travaux de réhabilitation du collecteur Ouest;Rue Le Nôtre;En vis-à-vis du 1 au 5;2022-09-19;2023-05-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.288540448027376, 48.8591895024404], [2.2889569883308853, 48.85892427965069], [2.2888960278568184, 48.85889893152244], [2.2884885341305985, 48.85916182910073], [2.2885386449136575, 48.85918949172032], [2.288540448027376, 48.8591895024404]]], ""type"": ""Polygon""}";48.859042579819224, 2.2887222785951127
CP002407;564719;75007;12;1;SAGP;REAMENAGEMENT_VOIRIE;Piétonnisation du pont;Pont IENA;Sur chaussée;2022-11-14;2022-12-30;RESTREINTE;Reste 1 file circulée de 3.50ml dans chaque sens (Bus + vélos) - Piétons maintenus sur trottoirs;1;2;;"{""coordinates"": [[[2.2911723743026124, 48.86025188171515], [2.291378000032758, 48.86038730561306], [2.293060421566911, 48.859315552367235], [2.29333378742358, 48.859255431661076], [2.292963030602004, 48.85899824938073], [2.292830282357081, 48.85918803829557], [2.2911723743026124, 48.86025188171515]]], ""type"": ""Polygon""}";48.85969600584461, 2.2922503588788903
CP002496;815496;75016;13;1;SPL PARISEINE;CREATION_ENTRETIEN_OUVRAGE_ART;"Projet ONE site tour Eiffel
Fontaine de Varsovie";Place de Varsovie;Sur la place de Varsovie et les voies annexes;2023-05-09;2024-02-29;;"Impacts sur les avenues de:  Gustave V de Suède; Albert 1er de Monaco; des Nations Unis; Albert de Mun; New-York et Président Kennedy";1;2;;"{""coordinates"": [[[2.2898277333235324, 48.86029852289635], [2.2882495788409165, 48.861422351080634], [2.2893548207794803, 48.862148583530406], [2.289451539436059, 48.862218975476935], [2.291265797786078, 48.86109116073211], [2.291791477499578, 48.86253897163896], [2.291548865850258, 48.86302089156261], [2.2905791349721865, 48.86369721635551], [2.2908223675890524, 48.86376847547307], [2.2933516177554805, 48.86214002654162], [2.2891391370476684, 48.858865844265715], [2.2877680798699593, 48.85972773538367], [2.2899757712692894, 48.86018661779606], [2.289967631886679, 48.86018656950328], [2.2898277333235324, 48.86029852289635]]], ""type"": ""Polygon""}";48.86108787224213, 2.290461628590399
CP002506;822099;75014;12;1;Mission Vélo;REAMENAGEMENT_VOIRIE;Aménagement d'une vélorue;rue du Faubourg St Jacques;Entre bd du Port Royal et bd Arago;2023-06-12;2023-12-22;SENS_UNIQUE;"Par phases.
Mise à sens unique de la rue depuis bd Arago vers rue Cassini
Des mises en impasse en fonction des phases";1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR RV - Faubourg Saint-Jacques phases 3-6.pdf;"{""coordinates"": [[[2.339546030875848, 48.83871021964924], [2.339628067921133, 48.838656965985415], [2.3370992844184237, 48.83469549759997], [2.336952717963189, 48.83470542728402], [2.339546030875848, 48.83871021964924]]], ""type"": ""Polygon""}";48.83660163435133, 2.3382482585367224
CP002529;832223;75015;13;1;DVD-SD;REAMENAGEMENT_VOIRIE;Mise en conformité PMR Bus;rue des Morillons;du 69 au 75;2023-07-31;2023-08-25;SENS_UNIQUE;depuis rue Brancion vers rue de Cronstadt;2;2;;"{""coordinates"": [[[2.3028789743392855, 48.83219421253148], [2.302858458320566, 48.83216506200275], [2.3024497010134004, 48.8322740439256], [2.302468774279863, 48.832303186108504], [2.3028782410145237, 48.8321951597966], [2.3028789743392855, 48.83219421253148]]], ""type"": ""Polygon""}";48.83223399541862, 2.3026652117918185
CP001464;;75017;9;2;SNCF-EOLE;REAMENAGEMENT_VOIRIE;Création d'une zone d'attente pour les camions.;Voie Bj/17;place de Verdun;2019-10-07;2022-06-30;RESTREINTE;modification des files de circulation au droit de la zone.;2;2;;"{""coordinates"": [[[2.281016095809532, 48.8795919530211], [2.2807092198081356, 48.87912307890699], [2.28056073785426, 48.878971878195365], [2.2805353221334843, 48.87904419517201], [2.280853550479006, 48.879574872236304], [2.281016095809532, 48.8795919530211]]], ""type"": ""Polygon""}";48.879313037582364, 2.280764514746309
CP001837;;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;Rue Galilée;Entre Champs Elysées et Vernet;2021-02-11;2023-03-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.299263019651192, 48.87208338769547], [2.2990878503181698, 48.871965765767534], [2.299089685895717, 48.871963396852166], [2.2988432760843054, 48.871778731266176], [2.2987634127542957, 48.871816335353], [2.299186731257099, 48.872123393546424], [2.299263019651192, 48.87208338769547]]], ""type"": ""Polygon""}";48.87195027006955, 2.299011283877479
CP002212;;75002;11;3;DUMEZ;REHABILITATION_IMMEUBLE;;Bd poissonnière;Face au N°27;2022-01-06;2023-06-30;RESTREINTE;Renvoi de cyclistes en circulation générale;2;4;;"{""coordinates"": [[[2.3437693042274637, 48.87123034483092], [2.343669875062266, 48.87124883510787], [2.3436889931484686, 48.871306048029], [2.343535296620988, 48.8713373287237], [2.343540632285258, 48.871343307120554], [2.34357809921292, 48.87137563612102], [2.343813206067737, 48.8713245755392], [2.3437693042274637, 48.87123034483092]]], ""type"": ""Polygon""}";48.8713084630955, 2.3436966929646723
CP002421;727005;75002;11;3;ALANO;REHABILITATION_IMMEUBLE;Réhabilitation d'immeuble de bureau;rue du Louvre;AU 62- Angle rue d'Aboukir;2022-11-17;2024-02-23;RESTREINTE;;2;2;;"{""coordinates"": [[[2.343792015549683, 48.86638950086198], [2.343676352986502, 48.86640909290086], [2.3438507103935775, 48.866740801495446], [2.343953496585201, 48.86674136495085], [2.3441761292979395, 48.86681991964204], [2.3442087325185352, 48.866665430059335], [2.34418184788937, 48.86665219459854], [2.3439619087131534, 48.86664623081337], [2.3439314173806576, 48.86663297642546], [2.3439206134338213, 48.866631727370326], [2.3437919855755527, 48.866391880361924], [2.343792015549683, 48.86638950086198]]], ""type"": ""Polygon""}";48.86663239116493, 2.343935652591504
CP002427;763876;75018;9;2;SAP;CREATION_RESEAUX;Création de BES pour futur chantier SAGP;Rue de la Chapelle;"Interventions phasées de la SAP entre les n° 82; 96 et 77 rue de la Chapelle";2022-11-28;2023-03-03;RESTREINTE;Maintien d'un file de circulation au minimum;2;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR Rue de la Chapelle x rue du pré.pdf;"{""coordinates"": [[[2.3596368565887524, 48.897250585949195], [2.359713810144146, 48.896275422944214], [2.359571299046264, 48.89627228132411], [2.3591185361023967, 48.89626034173513], [2.3590379185973323, 48.8972390533123], [2.3596368565887524, 48.897250585949195]]], ""type"": ""Polygon""}";48.89675692302102, 2.3593765369020057
CP002443;724231;75019;10;2;ENEDIS;RACCORDEMENT_RESEAU;Raccordement mobiliers urbains;Boulevard Serrurier;"Tranchée 181-183 bd Serrurier
Traversée chaussée voie Db/19 au n° 183
Traversée chaussée voie Cz/19";2023-02-20;2023-07-11;RESTREINTE;Traversées chaussée phasées pour éviter les barrages;2;2;;"{""coordinates"": [[[[2.3952978387763273, 48.88993693410621], [2.3953751475271527, 48.88994088400139], [2.395300421977284, 48.890316460174375], [2.3956820771081193, 48.89038858061573], [2.39565703575206, 48.890525273130635], [2.395693091157711, 48.89052783469524], [2.3957238612494485, 48.89036380748234], [2.3953385853676443, 48.890292858688525], [2.395415223957239, 48.88990777374007], [2.395301635398075, 48.889901251169334], [2.3952978387763273, 48.88993693410621]]], [[[2.395297586243692, 48.88993930253937], [2.3952978387763273, 48.88993693410621], [2.3952976138776996, 48.88993692307793], [2.395297586243692, 48.88993930253937]]]], ""type"": ""MultiPolygon""}";48.890231353070526, 2.395466824556719
CP002446;;75005;12;1;SAP;CREATION_RESEAUX;Travaux de création de galerie de rejet au droit du bassin;bd de l'Hôpital;Au N°29;2023-02-13;2023-03-31;RESTREINTE;;2;2;;"{""coordinates"": [[[2.36266723672588, 48.840626416413954], [2.36266725127467, 48.84062522663408], [2.3625342410922383, 48.840447239931656], [2.362364002457344, 48.8405129610435], [2.3625040766647714, 48.84070288324648], [2.36266723672588, 48.840626416413954]]], ""type"": ""Polygon""}";48.84057275931963, 2.362516857587334
CP001609;;75006;12;3;Sénat;REHABILITATION_IMMEUBLE;;rue de Vaugirard;entre la rue de Tournon et la rue Garancière.;2020-07-02;2023-06-30;RESTREINTE;"Maintien d'une file réduite dans chaque sens.
La rue Garancière sera mise à sens unique en direction de la rue Palatine.";2;2;;"{""coordinates"": [[[2.3360084098982288, 48.849564069459575], [2.3360331107517953, 48.849380028718265], [2.336099794132965, 48.84935327230715], [2.336758560269392, 48.849379769659876], [2.336764856658318, 48.84933839989748], [2.3365327572700005, 48.849330450606004], [2.336499212246473, 48.84930313723115], [2.336060221195462, 48.84928975585529], [2.336040521297537, 48.849307731735394], [2.3360245179182884, 48.849318588118415], [2.336014259710722, 48.84933138122461], [2.336008309718559, 48.84934562552129], [2.335980307010471, 48.84956248621215], [2.3360084098982288, 48.849564069459575]]], ""type"": ""Polygon""}";48.84935105068015, 2.336312710952428
CP001652;;75018;9;2;SNCF;TRAVAUX_OUVRAGE;Dépose puis reconstruction des ponts;Porte de la Chapelle;;2020-02-21;2024-03-31;RESTREINTE;Circulation modifiée selon les phases. .;1;2;;"{""coordinates"": [[[2.3585578081465237, 48.89985131251321], [2.3597309110488505, 48.89984147843579], [2.361085240371427, 48.89833962695765], [2.358593153364847, 48.89830482413131], [2.3585578081465237, 48.89985131251321]]], ""type"": ""Polygon""}";48.89899174665334, 2.35953040401859
CP001848;;75012;15;1;SAP;TRAVAUX_OUVRAGE;Travaux pour le bassin d'Austerlitz;Voie Mazas;;2021-02-23;2023-06-30;RESTREINTE;Neutralisation de plusieurs files de circulation, selon le phasage.;1;2;;"{""coordinates"": [[[2.3665005852835845, 48.845539520359495], [2.3666745011793577, 48.845618281559865], [2.3672737575404046, 48.84516514830218], [2.3678888461817227, 48.844746988911076], [2.3677640220310647, 48.84464433206504], [2.3671202392676216, 48.84508112757091], [2.3665005852835845, 48.845539520359495]]], ""type"": ""Polygon""}";48.84513644575862, 2.367192572679895
CP002365;640331;75008;9;2;CPCU;RACCORDEMENT_RESEAU;Raccordement réseau au Grand Palais;Place François 1er;Du 5 au 9 & 8-10 place François 1er + du 1 au 11 &  au 2 au 14 rue Jean Goujon + du 3 au 21 avenue François Roosevelt;2022-07-26;2023-03-31;RESTREINTE;Voies restreintes mais circulées;2;2;;"{""coordinates"": [[[2.307273629523612, 48.86601530651125], [2.3072717787067982, 48.86601886531051], [2.307271794527812, 48.86601767556485], [2.3072588876539992, 48.86603901613086], [2.3084971537277923, 48.86636027495284], [2.3085172578543354, 48.86634016478189], [2.3081668084195015, 48.866248907171915], [2.308141797576535, 48.86609528352092], [2.308040150837061, 48.866009033014286], [2.3078892476784802, 48.86596532902388], [2.3077720049943244, 48.86596702974826], [2.307510866510522, 48.866076167654846], [2.307273629523612, 48.86601530651125]]], ""type"": ""Polygon""}";48.866113277522594, 2.307888221989011
CP002378;577778;75015;13;2;CPCU;ENTRETIEN_RESEAU;Travaux d'inspection et de remplacement;rue Jean Rey;du 2 au 28;2022-09-26;2023-09-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.289873564529613, 48.85529773169754], [2.2921086689549686, 48.85545055030019], [2.292181551817004, 48.85547513910185], [2.292359637326779, 48.85554061160918], [2.292737591745067, 48.85586494303431], [2.292839420904078, 48.85585480833411], [2.292425444205605, 48.855487318088684], [2.29226791322715, 48.85540586244569], [2.2898620936398406, 48.855243980921685], [2.289873564529613, 48.85529773169754]]], ""type"": ""Polygon""}";48.855436511193275, 2.291511915226603
CP002424;762446;75017;9;1;DVD - MV;REAMENAGEMENT_VOIRIE;Aménagement piste cyclable circulaire + îlots;Place de Clichy;Entre les bd des Batignolles et Clichy. Avec un impact sur l'av de Clichy et les rues de Clichy, St Pétersbourg, Amsterdam et Biot;2022-12-05;2023-03-06;RESTREINTE;Restriction de la circulation durant les 8 phases de travaux;1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/LAR Place de Clichy.pdf;"{""coordinates"": [[[2.326205949612397, 48.88344049013641], [2.326806524255369, 48.88356379442034], [2.326811890011635, 48.8835673940379], [2.32680996301799, 48.883576900829645], [2.326758747215943, 48.88363134077217], [2.3268000665751507, 48.88364466018331], [2.326869505178294, 48.88357604578867], [2.326934305474188, 48.88358711753581], [2.327180465502969, 48.883663455007756], [2.327191197088476, 48.883670654208416], [2.32720542766707, 48.883686200880184], [2.3272296213894483, 48.88376842870819], [2.327225721415741, 48.88379101238812], [2.327175587389241, 48.88390137630146], [2.32731593597345, 48.883929528881495], [2.32736787370389, 48.883819175047016], [2.3273970278840905, 48.8837967332392], [2.3274624738563516, 48.883757839672015], [2.3275059661846287, 48.88374261727002], [2.327875434769937, 48.88376967629279], [2.3279186045501796, 48.883779437155106], [2.3279688520813293, 48.88379994426914], [2.3282247014640216, 48.88396437488], [2.3285069097979045, 48.88376370198482], [2.3283780599566795, 48.883683266121906], [2.328166554428764, 48.88357738199874], [2.3276326972663806, 48.88334428932109], [2.3276184021425887, 48.88333373902024], [2.327607084423891, 48.88331606744277], [2.3276051601275403, 48.8832974962265], [2.3276163327154964, 48.88327043332699], [2.3275047769862867, 48.88324791523931], [2.3274758695626128, 48.88330724006598], [2.3274559659429372, 48.88331188752554], [2.327230823123165, 48.883284447551695], [2.327218241532878, 48.883280808303205], [2.327209361455172, 48.883270050058364], [2.3272054865702625, 48.88315105476803], [2.3271116712045274, 48.883151716454925], [2.327112860273176, 48.88319931308566], [2.3271123837346464, 48.883236192907816], [2.3271031654881065, 48.88325160780832], [2.3270868222933574, 48.88325984376631], [2.3270669647791293, 48.88326092197248], [2.3268940420539823, 48.883240913756445], [2.3268815220108325, 48.88323251555383], [2.326700284272343, 48.88301853194804], [2.326587954118045, 48.883055972508004], [2.3266446457234466, 48.8831360036603], [2.3266353658208137, 48.883156177444974], [2.326611700448874, 48.88317270087076], [2.326577380573259, 48.883176077284645], [2.3263434512471126, 48.88313074076528], [2.326205949612397, 48.88344049013641]]], ""type"": ""Polygon""}";48.88350560012887, 2.327303134725558
CP000971;;75017;9;2;EOLE;TRAVAUX_OUVRAGE;Création d'une nouvelle gare RER E et percement du tunnel;Porte Maillot;;2017-12-01;2022-12-31;RESTREINTE;Modification de la circulation selon les phases. Mise en place de la circulation à double sens à partir du 22/08/19.;1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/Flash Maillot JUIN.pdf;"{""coordinates"": [[[2.281210774423776, 48.87845552088945], [2.281843964879395, 48.87865373501512], [2.282215481255645, 48.87869688670718], [2.2828371536175567, 48.87860856146873], [2.2834145048968333, 48.878356272516456], [2.2838131935890083, 48.87813837032774], [2.2841046718218845, 48.87825826638113], [2.284513012907371, 48.87816940837366], [2.2848097274293493, 48.877908024490985], [2.2841967904976874, 48.87748008722191], [2.2839731257103217, 48.877203657401495], [2.2836492922029135, 48.87706874432277], [2.283231920053841, 48.87697419484342], [2.2827058022960345, 48.876889196273794], [2.2820380025755758, 48.87694652539777], [2.2816016396582954, 48.877107602060725], [2.281257805187676, 48.87728964055456], [2.280879943659173, 48.87770681143538], [2.280828995219532, 48.87802358330166], [2.2809026897861986, 48.87830028726154], [2.281210774423776, 48.87845552088945]]], ""type"": ""Polygon""}";48.877789407689555, 2.2826159689048366
CP001304;;75016;13;1;Mission Tram;TRAVAUX_TRAMWAY;;Bd Bruix;entre la Porte Maillot et la Porte Dauphine.;2019-06-12;2023-12-29;RESTREINTE;Modification des emprises selon le phasage.;1;2;http://xdir-CGPub-prd.ressources.paris.mdp/PdfEtImages/ChantiersPerturbants/Pdf/2 INFOS RIVERAINS - Boulevard Lannes - 16ème.pdf;"{""coordinates"": [[[2.282587176149617, 48.87673101609813], [2.282791822172431, 48.87665168382466], [2.2825907267576855, 48.87647325095282], [2.2824546884343064, 48.87630057765371], [2.282180248824757, 48.87612707433623], [2.2812647176134635, 48.87579934654048], [2.280032948891075, 48.87537841050356], [2.2788932810009115, 48.87477541724447], [2.27830321591264, 48.8744657389673], [2.2775320956016896, 48.8737092067476], [2.27734036179112, 48.873444891203214], [2.2763831501268954, 48.872606668194464], [2.275689384527624, 48.87214597228412], [2.2758799069872993, 48.87191081909824], [2.276005825002824, 48.871637680343035], [2.2759111226484765, 48.871422284171445], [2.275816122438306, 48.87122836787515], [2.2753960970943052, 48.87098951979143], [2.274851574794822, 48.870921774952045], [2.274196736216298, 48.87117559484153], [2.2739991169771656, 48.87133551439005], [2.27387154219417, 48.8717267936889], [2.274053838511147, 48.87208235795445], [2.274490746074459, 48.87227834836008], [2.275451658855188, 48.8722626860328], [2.278026268902961, 48.874474809797384], [2.2790437258008307, 48.87508244647071], [2.2801761509799636, 48.875620947622885], [2.282136803591291, 48.87632552435296], [2.282587176149617, 48.87673101609813]]], ""type"": ""Polygon""}";48.87292815989875, 2.2766684245496935
CP002445;687208;75019;10;2;GRDF;ENTRETIEN_RESEAU;Contrôles de l'état et remplacement des conduits gaz;Rue de Cambrai;Du 26 au 38 rue de Cambrai;2023-03-06;2023-03-24;IMPASSE;Mise en impasse du 30 au 38 rue de Cambrai + mise à contre-sens de la rue Benjamin Constant pour les riverains;1;2;;"{""coordinates"": [[[2.379784767233932, 48.89593851607521], [2.38015490744827, 48.89607011208129], [2.380266561547259, 48.896088535969355], [2.380382079405172, 48.89608556432264], [2.381737155413757, 48.89593671444116], [2.383278981711141, 48.896016047658165], [2.383349363598878, 48.89601522029287], [2.3834563521720065, 48.89597056162479], [2.3834171510931457, 48.895928719659565], [2.383340961560654, 48.89596282963132], [2.3833210721868543, 48.89596629660024], [2.3832777550859126, 48.89596726332953], [2.383142475134617, 48.895962997203924], [2.383126462386038, 48.89594387889537], [2.3816803073250794, 48.89586146831235], [2.381553178076803, 48.895778721349316], [2.3813479079157096, 48.89589425390338], [2.381354927616907, 48.89591094640631], [2.381273367326861, 48.89594145793853], [2.3812554929456646, 48.895927088940304], [2.380361050853381, 48.896033108110245], [2.3803608667847636, 48.89604857360181], [2.3802652258205423, 48.89604926849978], [2.380166257951168, 48.896026151088265], [2.3797817961749153, 48.89588496347257], [2.379754136250305, 48.89593478804723], [2.379784767233932, 48.89593851607521]]], ""type"": ""Polygon""}";48.895954783462315, 2.381663208213829
